Time,L_Hip,L_Knee,L_Ankle,R_Hip,R_Knee,R_Ankle
9.96,178.91,171.2,107.49,171.35,172.44,110.46
9.98,178.51,178.36,106.8,171.65,172.97,110.77
10.0,176.27,176.53,106.17,172.07,173.58,111.19
10.02,174.15,174.67,105.48,172.43,174.05,111.51
10.04,172.24,172.99,104.75,172.78,174.61,111.94
10.06,170.27,171.37,103.98,173.17,174.99,112.16
10.08,168.42,169.84,103.37,173.47,175.44,112.67
10.1,166.8,168.41,102.83,173.71,175.83,113.06
10.12,165.26,167.07,102.23,174.04,176.28,113.48
10.14,163.9,166.01,101.58,174.22,176.76,113.77
10.16,162.82,165.07,101.11,174.31,177.29,114.25
10.18,162.01,164.36,100.57,174.62,177.68,114.7
10.2,161.32,163.92,100.16,174.91,178.14,115.14
10.22,161.1,163.63,99.8,175.23,178.59,115.63
10.24,161.04,163.43,99.52,175.56,178.94,116.21
10.26,161.3,163.54,99.24,175.94,178.5,116.66
10.28,161.69,163.91,99.2,176.13,178.06,116.98
10.3,162.39,164.44,99.06,176.32,177.6,117.42
10.32,163.23,165.3,99.05,176.5,177.26,117.76
10.34,164.38,166.44,99.2,176.57,176.78,117.57
10.36,165.64,167.54,99.33,176.73,176.36,115.93
10.38,167.1,168.89,99.51,177.02,175.97,114.47
10.4,168.85,170.32,99.8,177.18,175.59,112.89
10.42,170.69,171.85,100.3,177.34,175.11,111.39
10.44,172.52,173.4,100.66,177.57,174.67,109.82
10.46,174.53,175.23,101.17,177.69,174.4,108.39
10.48,176.68,177.11,101.65,177.72,173.98,106.76
10.5,168.79,179.02,119.85,177.73,173.56,105.23
10.52,169.18,178.22,119.0,177.71,173.18,103.73
10.54,169.62,177.49,118.32,177.81,172.8,102.3
10.56,170.06,176.64,117.6,177.97,172.33,100.73
10.58,170.41,175.69,116.9,178.13,171.99,99.14
10.6,170.73,174.74,116.17,178.36,171.58,97.78
10.62,171.07,173.88,115.26,178.57,171.14,96.29
10.64,171.42,173.01,114.33,178.72,170.8,94.74
10.66,171.71,173.07,113.47,178.84,170.36,93.16
10.68,172.01,173.49,112.49,178.89,169.98,91.72
10.7,172.28,173.87,111.94,178.98,169.49,89.98
10.72,172.47,174.29,112.2,179.02,169.14,88.42
10.74,172.74,174.64,112.52,177.83,176.55,90.96
10.76,173.06,175.02,112.8,176.09,173.23,94.86
10.78,173.41,175.28,113.14,174.53,169.92,98.61
10.8,173.74,175.71,113.33,172.92,166.92,102.29
10.82,174.17,175.98,113.6,171.41,163.97,105.66
10.84,174.37,176.3,113.85,170.06,161.17,108.77
10.86,174.66,176.64,114.03,168.85,158.72,111.54
10.88,174.87,177.08,114.3,167.69,156.53,113.83
10.9,175.09,177.38,114.63,166.87,154.73,115.43
10.92,175.28,177.79,114.84,166.15,153.27,116.72
10.94,175.56,178.09,115.01,165.54,152.16,117.5
10.96,175.75,178.47,115.35,165.24,151.46,117.82
10.98,175.97,178.81,115.54,165.17,151.13,117.67
11.0,176.21,178.82,115.8,165.22,151.1,117.1
11.02,176.5,178.47,116.04,165.47,151.5,115.93
11.04,176.73,178.18,116.4,165.96,152.34,114.29
11.06,176.93,177.77,116.78,166.45,153.49,112.2
11.08,177.11,177.49,117.06,167.12,155.06,109.71
11.1,177.33,177.08,116.75,167.89,157.0,106.9
11.12,177.38,176.8,116.24,169.11,159.35,103.6
11.14,177.46,176.48,115.73,170.27,161.76,100.05
11.16,177.54,176.1,115.0,171.69,164.57,96.31
11.18,177.67,175.71,114.57,173.18,167.63,92.4
11.2,177.56,175.36,113.97,174.9,170.79,95.7
11.22,177.66,175.01,113.49,176.42,173.99,92.74
11.24,177.75,174.64,112.85,178.06,177.43,89.77
11.26,177.96,174.44,112.46,168.1,178.53,121.72
11.28,178.07,174.13,111.87,168.43,177.28,120.49
11.3,178.28,173.85,111.45,168.71,176.19,118.99
11.32,178.36,173.55,110.92,168.97,175.04,117.79
11.34,178.42,173.32,110.47,169.32,173.91,116.41
11.36,178.44,172.95,109.91,169.65,172.82,115.01
11.38,178.54,172.59,109.4,169.97,171.88,113.76
11.4,178.74,172.19,108.87,170.28,171.17,112.72
11.42,178.78,171.8,108.47,170.72,171.68,111.45
11.44,178.92,171.4,107.92,171.1,172.16,110.16
11.46,178.89,171.08,107.47,171.52,172.6,110.15
11.48,178.44,178.39,107.03,172.04,173.02,110.6
11.5,176.27,176.65,106.2,172.38,173.47,111.07
11.52,174.23,174.84,105.27,172.72,173.92,111.48
11.54,172.19,173.11,104.59,173.09,174.31,111.93
11.56,170.35,171.49,103.77,173.26,174.85,112.35
11.58,168.59,169.96,103.11,173.39,175.34,112.71
11.6,166.88,168.49,102.51,173.72,175.67,113.1
11.62,165.37,167.21,101.93,173.96,176.16,113.56
11.64,164.02,166.07,101.28,174.17,176.74,113.9
11.66,162.87,165.06,100.87,174.48,177.18,114.35
11.68,161.94,164.29,100.27,174.77,177.58,114.72
11.7,161.42,163.81,99.87,174.96,178.15,115.02
11.72,161.04,163.52,99.65,175.21,178.6,115.4
11.74,160.99,163.4,99.42,175.48,178.88,115.96
11.76,161.18,163.66,99.16,175.62,178.39,116.4
11.78,161.56,164.05,99.08,175.92,178.06,116.94
11.8,162.18,164.53,99.07,176.09,177.64,117.42
11.82,163.02,165.3,99.07,176.25,177.24,117.75
11.84,164.23,166.34,99.18,176.41,176.88,117.76
11.86,165.56,167.49,99.36,176.61,176.53,116.19
11.88,167.16,168.75,99.58,176.71,176.02,114.64
11.9,168.78,170.32,99.76,177.06,175.57,113.13
11.92,170.75,172.0,100.11,177.2,175.07,111.51
11.94,172.68,173.66,100.68,177.49,174.65,109.73
11.96,174.8,175.34,101.12,177.68,174.25,108.18
11.98,176.82,177.17,101.64,177.86,173.91,106.66
12.0,169.05,178.97,119.98,177.92,173.51,105.16
12.02,169.29,178.08,119.18,178.21,173.22,103.78
12.04,169.57,177.32,118.28,178.16,172.89,102.3
12.06,169.94,176.56,117.5,178.2,172.54,100.88
12.08,170.37,175.75,116.67,178.27,172.12,99.23
12.1,170.68,174.85,115.91,178.36,171.71,97.66
12.12,171.02,174.03,114.95,178.25,171.23,96.07
12.14,171.39,173.2,114.11,178.4,170.8,94.58
12.16,171.66,173.15,113.35,178.65,170.41,93.02
12.18,171.8,173.52,112.51,178.79,169.99,91.5
12.2,172.15,173.96,111.86,178.87,169.66,89.87
12.22,172.51,174.38,112.31,179.02,169.23,88.34
12.24,172.84,174.73,112.52,177.84,176.54,90.9
12.26,173.07,175.06,112.79,176.05,173.2,94.9
12.28,173.31,175.4,113.11,174.53,169.96,98.76
12.3,173.57,175.74,113.45,173.09,166.84,102.4
12.32,173.86,176.1,113.64,171.67,163.98,105.68
12.34,173.96,176.42,113.88,170.27,161.28,108.64
12.36,174.23,176.79,114.08,169.13,158.78,111.08
12.38,174.82,177.14,114.32,168.01,156.54,113.33
12.4,175.03,177.55,114.51,166.95,154.6,115.27
12.42,175.29,177.92,114.76,166.17,153.14,116.76
12.44,175.58,178.3,115.05,165.54,152.08,117.74
12.46,175.73,178.65,115.29,165.13,151.36,118.14
12.48,175.78,179.03,115.5,164.94,151.0,117.98
12.5,175.99,178.8,115.93,164.93,151.08,117.19
12.52,176.12,178.42,116.22,165.16,151.45,116.04
12.54,176.34,178.08,116.55,165.58,152.3,114.34
12.56,176.65,177.76,116.79,166.13,153.49,112.23
12.58,176.82,177.4,117.02,166.92,155.1,109.55
12.6,176.93,177.16,116.72,167.91,157.04,106.65
12.62,177.14,176.78,116.15,169.04,159.31,103.36
12.64,177.18,176.49,115.54,170.29,161.84,99.8
12.66,177.19,176.13,115.07,171.72,164.6,96.05
12.68,177.38,175.93,114.73,173.18,167.56,92.36
12.7,177.6,175.63,114.1,174.75,170.61,95.57
12.72,177.69,175.27,113.66,176.38,173.89,92.56
12.74,177.84,174.89,113.26,178.13,177.13,89.5
12.76,178.02,174.55,112.66,168.1,178.23,121.35
12.78,178.07,174.03,112.04,168.38,177.24,120.02
12.8,178.05,173.76,111.58,168.86,176.26,118.89
12.82,178.1,173.51,110.83,169.19,175.16,117.74
12.84,178.31,173.21,110.24,169.53,174.15,116.58
12.86,178.52,172.92,109.71,169.97,173.14,115.32
12.88,178.59,172.63,109.21,170.56,171.96,114.22
12.9,178.8,172.21,108.62,170.75,171.09,112.95
12.92,178.82,171.89,108.25,171.14,171.6,111.66
12.94,178.89,171.49,107.71,171.44,172.03,110.43
12.96,178.85,171.04,107.22,171.7,172.48,110.31
12.98,178.41,178.38,106.81,171.81,172.94,110.6
13.0,176.21,176.55,106.17,172.13,173.48,111.08
13.02,174.28,174.71,105.37,172.42,173.88,111.42
13.04,172.16,173.03,104.76,172.69,174.33,111.73
13.06,170.3,171.5,104.08,173.06,174.85,112.27
13.08,168.45,169.96,103.27,173.39,175.33,112.63
13.1,166.79,168.59,102.5,173.75,175.71,112.98
13.12,165.22,167.23,101.92,174.01,176.17,113.51
13.14,163.93,166.11,101.32,174.33,176.68,114.02
13.16,162.82,165.18,100.84,174.56,177.1,114.59
13.18,161.98,164.39,100.34,174.75,177.59,115.16
13.2,161.4,163.75,99.88,174.96,178.1,115.63
13.22,161.07,163.48,99.53,175.18,178.63,116.03
13.24,161.06,163.35,99.11,175.38,178.92,116.41
13.26,161.27,163.49,98.91,175.48,178.51,116.69
13.28,161.63,163.88,98.75,175.82,178.08,117.11
13.3,162.34,164.48,98.76,176.0,177.65,117.54
13.32,163.17,165.26,98.92,176.3,177.2,117.82
13.34,164.29,166.32,99.19,176.59,176.8,117.68
13.36,165.61,167.44,99.36,176.81,176.38,116.16
13.38,167.1,168.78,99.67,176.86,176.01,114.61
13.4,168.76,170.28,100.1,177.19,175.49,113.03
13.42,170.65,171.95,100.43,177.37,175.07,111.44
13.44,172.54,173.57,100.77,177.47,174.66,110.05
13.46,174.64,175.39,101.19,177.69,174.31,108.47
13.48,176.83,177.24,101.76,177.85,173.85,106.87
13.5,168.93,179.08,120.0,177.88,173.59,105.23
13.52,169.29,178.32,119.11,177.88,173.27,103.93
13.54,169.7,177.48,118.33,177.9,172.83,102.29
13.56,169.95,176.59,117.57,177.94,172.37,100.74
13.58,170.39,175.7,116.71,178.08,171.97,99.27
13.6,170.79,174.93,115.69,178.11,171.53,97.82
13.62,170.99,174.08,114.9,178.25,171.03,96.12
13.64,171.24,173.38,114.12,178.4,170.65,94.62
13.66,171.54,173.43,113.28,178.53,170.33,93.08
13.68,171.82,173.83,112.48,178.67,169.98,91.47
13.7,171.95,174.12,112.03,178.84,169.64,89.77
13.72,172.52,174.33,112.32,178.94,169.28,88.17
13.74,172.88,174.69,112.51,177.8,176.63,90.8
13.76,173.21,175.01,112.74,176.21,173.23,94.83
13.78,173.54,175.35,113.08,174.63,170.01,98.64
13.8,174.1,175.78,113.43,173.04,166.83,102.43
13.82,174.28,176.16,113.63,171.56,163.93,105.84
13.84,174.57,176.44,113.93,170.1,161.31,108.77
13.86,174.83,176.77,114.24,168.84,158.84,111.36
13.88,175.01,177.14,114.42,167.69,156.63,113.64
